Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Pace,Beste Pace,Positiver Höhenunterschied,Negativer Höhenunterschied,Ø Schrittlänge,Durchschnittliches vertikales Verhältnis,Ø vertikale Bewegung,Training Stress Score®,Grit,Flow,Kletterzeit,Grundzeit,Minimale Temperatur,Oberflächenpause,Dekompression,Beste Rundenzeit,Anzahl der Runden,Maximale Temperatur
Laufen,2020-11-04 08:58:46,false,"Lüneburg Laufen","8.00","472","00:36:16","147","170","2.5","168","178","4:32","4:12","38","37","1.32","0.0","0.0","0.0","0.0","0.0","36:16","0:00","14.0","0:00","Nein","04:23.46","8","0.0"
Laufen,2020-11-03 12:57:03,false,"Lüneburg - 4x2000m Straße","14.46","849","00:57:23","168","194","3.8","171","182","3:58","3:11","27","27","1.47","0.0","0.0","0.0","0.0","0.0","57:23","0:00","16.0","0:00","Nein","00:00.73","18","0.0"
Laufen,2020-11-02 15:32:41,false,"Lüneburg Laufen","6.00","345","00:27:56","145","164","2.1","163","174","4:39","3:59","29","29","1.32","0.0","0.0","0.0","0.0","0.0","27:56","0:00","21.0","0:00","Nein","04:27.28","6","0.0"
Laufen,2020-11-01 14:11:24,false,"Lüneburg Laufen","15.03","884","01:10:00","151","164","2.5","167","180","4:39","4:00","96","89","1.28","0.0","0.0","0.0","0.0","0.0","1:10:00","0:00","20.0","0:00","Nein","00:08.67","16","0.0"
Laufen,2020-10-31 14:23:53,false,"Lüneburg Laufen","10.00","617","00:47:14","149","173","2.3","163","238","4:43","2:14","55","48","1.30","0.0","0.0","0.0","0.0","0.0","47:14","0:00","18.0","0:00","Nein","04:05.64","10","0.0"
Laufen,2020-10-29 17:23:38,false,"Lüneburg Laufen","13.82","764","01:07:05","149","209","2.8","160","194","4:51","2:15","69","59","1.26","0.0","0.0","0.0","0.0","0.0","1:07:05","0:00","12.0","0:00","Nein","01:26.49","15","0.0"
Laufen,2020-10-28 08:54:09,false,"Lüneburg Laufen","6.69","391","00:32:37","141","157","2.0","164","175","4:52","4:08","33","29","1.25","0.0","0.0","0.0","0.0","0.0","32:37","0:00","18.0","0:00","Nein","03:17.69","7","0.0"
Laufen,2020-10-27 18:01:34,false,"Lüneburg Laufen","12.35","685","00:55:58","151","184","3.0","166","194","4:32","2:22","64","49","1.31","0.0","0.0","0.0","0.0","0.0","55:58","0:00","13.0","0:00","Nein","00:33.59","18","0.0"
Laufen,2020-10-26 09:18:00,false,"Lüneburg Laufen","6.03","363","00:24:06","160","175","3.0","167","178","4:00","3:30","32","31","1.50","0.0","0.0","0.0","0.0","0.0","24:06","0:00","17.0","0:00","Nein","00:05.84","7","0.0"
Laufen,2020-10-25 13:38:04,false,"Lüneburg Laufen","16.82","1,053","01:12:52","158","175","3.4","163","176","4:20","3:42","53","48","1.42","0.0","0.0","0.0","0.0","0.0","1:12:52","0:00","19.0","0:00","Nein","03:30.25","17","0.0"
Laufen,2020-10-24 14:00:52,false,"Lüneburg Laufen","11.45","717","00:50:52","155","178","2.7","163","198","4:27","2:45","43","34","1.38","0.0","0.0","0.0","0.0","0.0","50:52","0:00","18.0","0:00","Nein","01:59.91","12","0.0"
Laufen,2020-10-22 17:57:03,false,"Lüneburg Laufen","16.19","940","01:15:54","152","184","3.0","165","198","4:41","2:08","57","49","1.28","0.0","0.0","0.0","0.0","0.0","1:15:54","0:00","18.0","0:00","Nein","00:35.03","45","0.0"
Laufen,2020-10-21 08:50:57,false,"Lüneburg Laufen","8.73","540","00:40:26","149","176","2.4","167","180","4:38","4:08","30","29","1.29","0.0","0.0","0.0","0.0","0.0","40:26","0:00","17.0","0:00","Nein","03:11.56","9","0.0"
Laufen,2020-10-20 17:52:48,false,"Lüneburg Laufen","13.40","731","01:04:36","149","209","2.9","155","196","4:49","2:02","72","63","1.30","0.0","0.0","0.0","0.0","0.0","1:04:36","0:00","13.0","0:00","Nein","01:17.07","13","0.0"
Laufbandtraining,2020-10-19 09:32:58,false,"Laufbandtraining","8.00","545","00:33:59","168","179","3.4","159","165","4:15","3:37","--","--","1.36","0.0","0.0","0.0","0.0","0.0","33:59","0:00","23.0","0:00","Nein","01:36.10","8","0.0"
Laufen,2020-10-18 13:20:35,false,"Deinste Laufen","15.95","920","01:11:43","152","204","2.6","163","174","4:30","4:04","35","33","1.36","0.0","0.0","0.0","0.0","0.0","1:11:43","0:00","18.0","0:00","Nein","04:11.13","16","0.0"
Laufen,2020-10-17 08:04:52,false,"Deinste Laufen","9.15","551","00:40:54","154","189","3.1","165","192","4:28","2:31","17","17","1.36","0.0","0.0","0.0","0.0","0.0","40:54","0:00","15.0","0:00","Nein","00:40.44","10","0.0"
