,x_mean_PSD,x_max_PSD_f,x_max_PSD,x_PSD_above_20,y_mean_PSD,y_max_PSD_f,y_max_PSD,y_PSD_above_20,z_mean_PSD,z_max_PSD_f,z_max_PSD,z_PSD_above_20,surface
35,(1.082700090436886+0j),10.4,(9.26116582403217+0j),0,(1.5192198261256307+0j),11.200000000000001,(16.380712883305634+0j),0,(5.114394144124199+0j),12.3,(64.27323205504655+0j),13,AS
36,(1.2536940578615614+0j),10.0,(21.384877041264932+0j),1,(1.8461389604618021+0j),14.700000000000001,(18.103669234012223+0j),0,(4.965933181396816+0j),11.3,(114.36474603824725+0j),11,AS
37,(1.1599687934067116+0j),10.0,(10.941607411323584+0j),0,(1.7176949654824634+0j),10.0,(16.800688395460117+0j),0,(5.557545690646619+0j),11.700000000000001,(178.80537140195804+0j),15,AS
38,(1.2364418955668022+0j),11.0,(15.11436616767584+0j),0,(1.6321358556024517+0j),12.100000000000001,(16.131087460220698+0j),0,(6.781954817680064+0j),11.100000000000001,(101.65872885759869+0j),17,AS
39,(1.4377028408823405+0j),10.9,(12.198728533959368+0j),0,(2.044349360493059+0j),12.0,(18.152405266471316+0j),0,(7.2674358952489175+0j),10.8,(109.59225661624747+0j),19,AS
40,(1.2485011459059845+0j),10.5,(25.780314547801947+0j),1,(1.8177114493267483+0j),11.200000000000001,(18.366413497452697+0j),0,(7.7388522902143+0j),12.100000000000001,(117.06020248761078+0j),20,AS
41,(0.8891894663902882+0j),10.31031031031031,(14.92055379598759+0j),0,(1.429884354278959+0j),13.313313313313312,(23.221182829025+0j),1,(6.205453423961703+0j),11.811811811811811,(97.88964119860135+0j),15,AS
42,(0.6795811401447978+0j),11.0,(7.6161629782992915+0j),0,(0.8074315053361654+0j),12.9,(8.45065968249182+0j),0,(4.929429325175838+0j),12.9,(127.01838802216001+0j),12,AS
43,(0.6064215279552958+0j),10.78921078921079,(8.094538751609893+0j),0,(0.7778442062119401+0j),10.08991008991009,(12.880833764473904+0j),0,(4.109941146508289+0j),10.08991008991009,(53.55119869585794+0j),13,AS
44,(1.028531817060556+0j),11.8,(17.727953608685684+0j),0,(1.5646694995003765+0j),11.8,(21.69937731163926+0j),1,(4.268702796085981+0j),11.9,(72.86373190231795+0j),13,AS
45,(1.093712562825267+0j),11.11111111111111,(10.14728991697658+0j),0,(2.1366724640929813+0j),11.411411411411411,(38.80131123549514+0j),3,(1.9554461893585549+0j),12.712712712712712,(27.564854537368955+0j),2,AS
46,(1.1863559302954725+0j),14.285714285714286,(13.302430830590602+0j),0,(2.4728538061315954+0j),11.08891108891109,(60.19817608724204+0j),2,(1.6193034995119735+0j),12.587412587412588,(21.78209344825261+0j),1,AS
47,(0.8845518464305097+0j),10.100000000000001,(24.31285912793416+0j),1,(1.851664774971901+0j),10.100000000000001,(45.59110822918723+0j),1,(1.4915112111340356+0j),10.100000000000001,(64.40798295064732+0j),2,AS
48,(0.610997689413787+0j),12.912912912912912,(14.937784950198989+0j),0,(1.8015098433092451+0j),12.912912912912912,(44.794248265899704+0j),2,(1.1683814998039979+0j),10.81081081081081,(22.8858760809195+0j),1,AS
49,(0.6823657104703285+0j),13.086913086913087,(7.160220275450534+0j),0,(1.5990574414212093+0j),13.286713286713287,(27.430256081010448+0j),3,(0.9620271145953361+0j),11.08891108891109,(13.473141164075306+0j),0,AS
50,(0.765338063477326+0j),11.9,(8.227005627996265+0j),0,(1.823467222410846+0j),11.200000000000001,(26.87640971441798+0j),3,(1.4817781338225213+0j),10.700000000000001,(29.16485594941461+0j),2,AS
51,(0.6112537036473552+0j),12.4,(6.756640002979469+0j),0,(1.6402916248444857+0j),10.600000000000001,(16.421474125757793+0j),0,(0.995468239721255+0j),11.0,(16.646374671518025+0j),0,AS
52,(1.946661510911363+0j),10.11011011011011,(43.66424131948795+0j),2,(2.4510887597761495+0j),10.31031031031031,(24.433667760010746+0j),5,(7.0920250345870475+0j),10.01001001001001,(93.58057404705615+0j),20,AS
53,(1.9703354572974483+0j),10.4,(31.730634613838753+0j),1,(1.9726300166473454+0j),13.3,(14.763580612234223+0j),0,(5.992402328442098+0j),14.600000000000001,(80.0318427413913+0j),15,AS
