,freq,PSD,FHAT,weighted
19,13.706563706563706,(13.227801397153979+0j),(44.187686213906915+108.40410801493097j),(181.3077025478634+0j)
20,13.8996138996139,(19.65348654514333+0j),(120.05910912195283-77.11564288528957j),(273.175874758749+0j)
21,14.092664092664092,(51.947916962146145+0j),(-107.42498263364962-205.61594072187955j),(732.0845440611329+0j)
22,14.285714285714286,(23.342969045683844+0j),(-77.2126122860452+134.987141740587j),(333.4709863669121+0j)
23,14.478764478764479,(18.918517326322473+0j),(-53.27536663628523-129.46551378587068j),(273.91675665524815+0j)
24,14.671814671814673,(8.157134483455904+0j),(-83.31070075000918-38.860242734737724j),(119.67996539433373+0j)
25,14.864864864864865,(15.579190321047243+0j),(-71.58712844295225+104.9539147144936j),(231.58255882637792+0j)
26,15.057915057915059,(64.18427593087286+0j),(257.58168495061193+12.107247514938349j),(966.4813750208655+0j)
27,15.250965250965251,(48.075739957515836+0j),(-144.27957594078907-170.26412000868675j),(733.2014395065156+0j)
28,15.444015444015445,(0.6280026961463037+0j),(25.47536260700328+1.271492528200497j),(9.698883338166853+0j)
29,15.637065637065637,(0.9104602457504062+0j),(29.92494730714351-6.909004505868069j),(14.236926622738013+0j)
30,15.83011583011583,(0.05115123743063306+0j),(-6.947248122870548+2.1744943084329975j),(0.8097300133806777+0j)
31,16.023166023166024,(29.86332277850759+0j),(-56.93388958797074+166.42396045917974j),(478.5049788834228+0j)
32,16.216216216216218,(12.511144755295408+0j),(93.5676563691963-64.85861275160025j),(202.88342846424987+0j)
33,16.409266409266408,(6.005189987465856+0j),(-78.87480889783987+0.3759632214292594j),(98.54076234258643+0j)
34,16.602316602316602,(4.058271294937191+0j),(64.42194854294546-7.360815680684917j),(67.37670489664062+0j)
35,16.795366795366796,(0.9704964229824444+0j),(26.172526845406008-17.900646154156398j),(16.299843397581597+0j)
36,16.98841698841699,(32.59602099812361+0j),(-155.33609099069244-98.18440094937375j),(553.7547968793201+0j)
37,17.18146718146718,(2.72192764266953+0j),(4.186339717541529+52.93761987070223j),(46.76671046285486+0j)
38,17.374517374517374,(10.72188756512244+0j),(-101.18344266606131+29.492142134994715j),(186.28762178784163+0j)
39,17.56756756756757,(8.220412530218693+0j),(16.356076682798502+90.82304848909764j),(144.41265255789597+0j)
40,17.760617760617762,(3.9794557113534585+0j),(40.437334808060896+49.87522501786803j),(70.67759178465603+0j)
41,17.953667953667953,(15.101855859553325+0j),(85.2858688812623-91.49777723893285j),(271.1337055865751+0j)
42,18.146718146718147,(9.975117388751093+0j),(-58.514717467926666-83.12791020105611j),(181.0156437340932+0j)
