,time,x_mean,x_max,x_min,x_std,y_mean,y_max,y_min,y_std,z_mean,z_max,z_min,z_std
0,0,-0.007949238310428389,5.026626301493972,-5.167145993885972,1.8489026931557846,-0.0065041554696755,7.89516294860609,-8.221111962283793,2.722495581090909,-0.01848825638304282,11.610379566701994,-11.741809365650784,4.090667447878235
1,10,-0.0009239811802020882,5.183122134865802,-5.065083343734256,1.6499467789611502,-0.010821697619974407,7.954265452121517,-7.662299261507486,3.153428737880872,-0.05934776514072656,12.052709417554915,-11.258501321610083,3.888364420350667
2,20,-0.004749501148194289,4.920705688975222,-5.130009919084778,1.8121033677620046,-0.028869084175843742,7.402511646395816,-7.767134780893781,2.749448188127205,-0.07329311357193857,12.060043836025358,-11.078092342473216,4.120767646516687
3,30,0.0017724220690111432,4.779341868723135,-5.135898938789868,1.5694093039397081,0.004629482817465822,7.732676727610983,-8.003185302961882,2.7653619671764136,-0.030611327798302432,11.199444105724993,-10.78162723678224,3.7264726096483587
4,40,0.005256567447700425,5.020573893974322,-5.033400616120547,1.7414652965282191,0.042166565676105175,8.156089178179231,-8.17517603762791,2.8171711290525145,-0.04442534318568873,11.963311891933884,-11.393829008997535,4.2889199019559605
5,50,0.041132469097341307,4.9798801676646125,-5.1116050851652055,2.0010175249947117,-0.03990688632980201,8.098250826751832,-8.078554369311691,3.037565225151614,-0.016253726597870364,11.440309348051072,-11.7456135324911,4.293524896208168
6,60,0.01822235059316002,4.962794338991738,-5.120833785631537,1.6396794896430402,0.016120655720908764,8.187117939885928,-7.395892847938972,2.4126166832471947,-0.028535126130281488,11.892785065107214,-11.612738926475892,3.918143828532773
7,70,-0.03207024252475347,4.9344994650914975,-5.163856285274061,1.8134870269128052,-0.041698296933935695,7.4679287183198495,-7.858742384236533,2.7946957125400687,-0.09972330623105762,11.694774222278953,-10.98062194153323,3.9773230790337153
