,time,x_mean,x_max,x_min,x_std,x_mean_PSD,x_max_PSD,x_PSD_above_20,x_weighted_mean,y_mean,y_max,y_min,y_std,y_mean_PSD,y_max_PSD,y_PSD_above_20,y_weighted_mean,z_mean,z_max,z_min,z_std,z_mean_PSD,z_max_PSD,z_PSD_above_20,z_weighted_mean
0,0,0.0078040532594413105,6.64567464991896,-6.188292190694496,2.1111130407720706,4.456859174165175,135.07427920082165,60.0,222.83991354589497,0.002670857202244136,6.503128017071727,-5.8568242016712455,1.9275831312081642,3.7155838611964658,101.5195824515737,54.0,185.77883638591356,0.01956805869525915,9.756277664891904,-9.165288720210736,2.8725871706975314,8.25213996217715,189.16688293926393,108.0,412.58785266280256
1,10,-0.0063688651889891885,6.603634678966352,-6.616854101327906,1.8901684572487434,3.5727773592218917,77.61926756998757,56.0,178.63683983890482,-0.028381023130170015,5.995808454878127,-6.382646925483946,1.8337017944977496,3.363267753618183,107.45693332417041,50.0,168.12311355721343,-0.0428219375538004,9.847429456147507,-9.768234394158442,3.308404832350114,10.947376253053452,298.80144164699794,156.0,547.2771267358795
2,20,0.0005768475375800248,5.917847826213553,-6.673146734590187,1.918788222919879,3.6817485771691087,86.94352017851928,50.0,184.08741222080138,0.013655936917066413,6.478234909446572,-6.477540906609946,2.1853861318434062,4.776099029866569,202.54403363429012,62.0,238.79562726267434,-0.00549180100343883,9.513005261424931,-9.678625287737685,3.076511289870057,9.464951876576187,209.21777336485906,142.0,473.2460858348961
3,30,-0.03845284931888598,6.752348703991043,-6.7462336200478354,2.1695918637678115,4.708607476948227,78.84469474530661,74.0,235.35644276637436,-0.0006124840896501987,6.4429834348330175,-6.499678779130101,2.224461016265002,4.948227188019486,227.94345018167408,48.0,247.41134064413637,-0.08566023706109324,9.776891998202572,-9.79136566482541,3.262590967520695,10.651837497560988,279.03716251013265,138.0,532.2249910673813
4,40,-0.012225349047815847,5.374279945659128,-6.654587735527435,1.6999071591585322,2.889833808917772,67.76620384081484,46.0,144.4842174879216,0.003385227640381469,5.968240815829932,-6.189206023019429,1.6724480394691714,2.7970939044904526,77.68202527224655,36.0,139.85412223621378,-0.0018788197735016361,9.803816513922909,-9.37489926655444,2.625832806419953,6.895001457235028,152.45913340128754,120.0,344.74989636356435
5,50,-0.011494525313354738,6.713616464712678,-6.674204384567716,2.1651699492719385,4.68809303334243,120.75337734866751,72.0,234.39804546151254,-0.003186844401308347,6.455374251453768,-6.345411649957354,2.3062069254540525,5.318600538989473,222.95172233250773,70.0,265.9295191506117,-0.021896197120864627,9.580019601342206,-9.20130801331292,3.3743330614109985,11.38660305277968,428.7585637228087,136.0,569.3061804665663
6,60,-0.008410405106410671,6.6381547126220735,-6.658936852653972,2.0222966610309485,4.089754520130977,148.5597953621112,60.0,204.48418926084616,0.007384689209655481,6.299458349266352,-5.887966643568909,2.0439340639282926,4.177720991321149,125.92045178668708,60.0,208.88332288432133,-0.03751514519376882,9.751330071498153,-9.861330365312693,3.015790408586595,9.096399174641814,227.3717609395102,130.0,454.7495894261452
7,70,0.008132871421508984,6.0669527454103935,-6.154753254782617,1.8890269336448728,3.568488899633309,71.82011066208095,44.0,178.42113780178752,0.001577653868648052,5.772665504520437,-5.126649951943616,1.8974127349447072,3.6001775757220837,166.49319721453014,40.0,180.00875433651774,-0.017232023123398627,9.468598891966822,-9.787461005495917,2.870705109220782,8.241244766727227,164.49799175153427,110.0,412.04739120531514
8,80,-0.025885997549514345,6.6783631578579525,-6.492332815209979,2.4408991372386906,5.958658683041719,103.5787388549943,108.0,297.89942990862926,0.005032277629451679,6.3698208783215895,-6.245688049254433,2.24153939068776,5.024524163822993,315.41079170802914,60.0,251.2249420002427,-0.06939269275732737,9.763243237414581,-9.604869455059873,3.6191358306024983,13.10295950615895,240.96367478391454,172.0,654.907208017542
9,90,-0.05012722647596678,6.745769845300278,-6.766117697441026,2.610599762725496,6.8177438599765905,173.75524972442278,112.0,340.76155605712097,0.009576480365650085,6.463163472979626,-6.32352522573731,2.4471446589913386,5.988608691006029,204.77139709214998,72.0,299.42584910149185,-0.1372548013672417,9.595028718668589,-9.832272019111755,3.6759762644332654,13.531640377175108,294.0532385700178,166.0,675.6400748338375
