,time,x_mean,x_max,x_min,x_std,y_mean,y_max,y_min,y_std,z_mean,z_max,z_min,z_std
0,0,0.009008894152963885,5.113259962655892,-4.952873556886914,1.5906914657334061,-0.005921798565158771,8.104605777799428,-8.204001550893288,2.6367534764982543,0.0001439951319546875,6.753207348263037,-7.423155514499661,2.3710473793019102
1,10,-0.01637501893613684,5.023234528368566,-4.879611929494251,1.7800548015532054,-0.032569735775584356,8.36811890211002,-8.370229193632476,2.9412401542748166,0.027291273535883967,7.546552609521138,-7.405764045718971,2.703772479986114
2,20,0.007320279013172348,4.951733166638453,-5.088314343123881,1.831944051362209,0.02384265534941354,8.290806984540364,-7.949106906075998,3.0018736727855493,-0.06853307266315511,7.129179192588071,-7.377963946803992,2.7841457451097456
3,30,0.0021871212842481027,5.145315237446965,-5.047835316915148,1.9411233647426132,-0.008608270378197318,8.427154820451328,-8.457761209409265,2.921936409855417,0.0009178910653869199,7.434150108378817,-7.598828825514853,2.889962617001194
4,40,0.005121802005827682,4.7278426097625355,-4.636053813917706,1.5769136624718694,-0.016376512855879603,7.326540659717039,-8.230513646529143,2.4889519168068848,0.004289998926111865,7.246974264831888,-6.909375890175393,2.449458880423183
5,50,0.024749968723267367,4.949906307016832,-5.0258307405736575,1.7153992968256309,0.02262246338544683,8.268618179237546,-7.81027139140225,2.6822162340468307,-0.009020016878251219,7.443793034238894,-7.208141847285219,2.581213869217028
6,60,-0.003809769150174625,5.0282156527264945,-5.095628939987629,1.6584471081081846,0.009528841716605011,8.298947731460746,-8.187799719991213,2.7887232960482935,-0.005969170452195209,7.4036878320806965,-7.161877094091682,2.3384422056307397
7,70,-0.004729960288746684,5.013191693573422,-5.125372007913536,1.806877724406422,-0.00814769156324871,8.274754964083076,-8.22573128139464,3.0227662964013917,-0.021047529216710607,7.485581596676607,-7.5571644473072075,2.539316998645644
8,80,0.01806165728778936,5.110089527991672,-4.914933489594825,1.8456532346076873,-0.00659641487087141,8.322048029688379,-8.299803636721196,2.8014566396133533,0.0013936953608567394,7.3479911835976734,-7.505381354795188,2.431628176837449
9,90,-0.017826271813933984,5.14659084668764,-5.090747465791042,1.8147535554306244,0.013431267885344916,8.290693799775404,-8.46339734184893,2.96452889200923,0.005301289163252257,7.537108603647473,-7.468958444288668,2.711246385237606
10,100,0.009569865066510126,4.9677574851046105,-4.7780740296528,1.524900301672968,-0.0007349248311144025,7.8531766521075514,-8.335068083339237,2.6783646635329887,-0.012675835337614934,7.491933620994389,-7.391644529690934,2.642420802880324
11,110,-0.016263118682416023,5.0895084874515,-5.101579635868187,1.5015380873838022,0.012965382931659775,7.964174531355077,-8.035503707331749,2.526310495026441,0.0013076145872883576,7.441486155680205,-7.3860321853643525,2.282325570412973
12,120,-0.024287833652475232,4.951179977755725,-5.1443095898891285,1.786384494757043,-0.03124213620250066,8.446123596184878,-8.421629159682311,3.0461139830210415,-0.05406079545232692,7.208036155258893,-7.530167405431428,2.457539395033144
13,130,0.010508127216727801,5.012042816119674,-4.826572211812502,1.4703730865476696,-0.007635051632004146,7.970937931108483,-8.137528603968258,2.316324844941062,-0.008002413710384933,7.321677439214718,-7.539948017958287,2.230505351251579
