,time,x_mean,x_max,x_min,x_std,x_mean_PSD,x_max_PSD,x_PSD_above_20,x_weighted_mean,y_mean,y_max,y_min,y_std,y_mean_PSD,y_max_PSD,y_PSD_above_20,y_weighted_mean,z_mean,z_max,z_min,z_std,z_mean_PSD,z_max_PSD,z_PSD_above_20,z_weighted_mean
0,0,-0.015734783863743468,4.742789431336927,-4.731422802203248,1.648307524769128,2.7171652796337677,72.58956193400765,32.0,135.84588481052646,-0.00821183614990982,7.3964290748977755,-7.382853348034869,2.4920335452254334,6.210298624781795,139.4145476960544,100.0,310.51155952644217,0.025032882768494715,7.976772842412928,-8.05765749693121,2.750135218915082,7.563870367536807,180.0883252186476,104.0,378.1621861158553
1,10,-0.008505061027950197,4.432153812631915,-4.621262447709589,1.6333988182319412,2.668064035464591,54.08346266266489,30.0,133.39958497007513,0.031056635934105334,7.86931862792442,-7.731574024757693,2.709222144541596,7.340849143110107,215.81606322503492,92.0,366.9942314237282,0.018494210169425426,8.028204534078588,-7.631531207719374,2.855036394261468,8.151574848367316,133.83127281214686,106.0,407.5616406278763
2,20,-0.006931842701702401,4.731426049317924,-4.775083244229462,1.4922494485628777,2.226856467179454,50.58641382024865,24.0,111.34042083681064,-0.02773083969174397,7.712197741289563,-7.867247273807275,2.8278440421363005,7.997470926115782,318.8423737868146,98.0,399.83509633228874,-0.047483184805554114,7.733693800372929,-7.922552874972615,2.9465820214786795,8.684600262140663,213.64711772037293,110.0,434.11728046506926
3,30,0.016819122408974707,4.395521470722802,-4.627777055951578,1.6685737299649583,2.7844211752077825,115.05865903891647,30.0,139.2069146164587,0.06258828795497287,7.798290202270629,-7.985704374327847,2.872205971396698,8.253484435915983,354.2932736037038,84.0,412.47835710634246,0.023476260183628368,7.291129228078757,-7.778964433203066,2.499529375915774,6.24819823585811,158.31158152702082,86.0,312.382355053295
4,40,-0.005434520118337744,4.723049152092862,-4.489743296923487,1.6522069218025623,2.7298172464612143,63.932380584292005,18.0,136.48938562261495,-0.006864427343022477,7.267922810194419,-6.618659412837765,2.8102901158715548,7.897777655728104,349.33673432012085,32.0,394.88652676826786,0.005797077435363654,7.878058798379952,-5.826835689092842,2.1731015234845987,4.722403837477875,94.190002927675,34.0,236.1185115685542
