,time,x_mean,x_max,x_min,x_std,x_mean_PSD,x_max_PSD,x_PSD_above_20,x_weighted_mean,y_mean,y_max,y_min,y_std,y_mean_PSD,y_max_PSD,y_PSD_above_20,y_weighted_mean,z_mean,z_max,z_min,z_std,z_mean_PSD,z_max_PSD,z_PSD_above_20,z_weighted_mean,x_range,y_range,z_range
0,0,-0.01771393936000607,10.865783863002221,-9.924740385212637,3.2419210957657265,20.63642923464303,198.0774868494542,66.0,223.69258340340357,-0.039568262037617485,11.557409151287706,-11.528200787220435,4.139207301562714,33.57595680463859,976.3950943334648,74.0,317.5232484052232,-0.13113897600817925,19.180124736219167,-18.919671956006862,6.222335941679881,74.75126794261136,967.9303057302423,121.0,808.1007414118,20.790524248214858,23.085609938508142,38.09979669222603
1,10,-0.04356257410910308,10.930671942084881,-10.780905185873683,3.6814818775234337,26.476223995229006,626.4321137576474,90.0,282.59531298505493,-0.1098759954474663,11.339489710176785,-11.436431621066461,4.56369301213971,40.069658668789785,861.302327877642,80.0,360.97766291478985,-0.04605255795870599,19.128032773808755,-18.904395663025305,6.9340726426148676,92.12764736956717,898.590914098093,137.0,976.4659876079561,21.711577127958563,22.775921331243246,38.03242843683406
2,20,-0.04017770840862865,10.872821582351325,-10.940295384546085,3.8281276338512336,28.303993218669934,294.88410694972356,90.0,303.5124714173692,-0.01176939772806847,11.133004648481318,-10.994500267393372,3.9308318018152604,30.48106581067326,469.4760197368616,81.0,303.23613041957594,-0.15404636924312665,18.904364188772718,-18.791793520514076,6.235910291243789,73.3386050342687,1159.8350331712873,119.0,775.4109459413996,21.81311696689741,22.127504915874688,37.696157709286794
3,30,-0.016572599957480522,10.076694285841619,-10.880335293572363,3.810037187818199,28.540529756549592,589.3343337180506,80.0,313.0312501011779,-0.009352889133014547,11.13588192338481,-11.371139352441578,3.677402851598081,26.468458278578098,384.1264152231593,82.0,266.9484027101043,-0.019209722445763744,19.07149721513646,-18.893159431495675,6.445694671622627,81.20813872858673,1104.159956667685,125.0,887.6841548391747,20.957029579413984,22.50702127582639,37.964656646632136
4,40,0.0005918661131234479,10.517171781868033,-10.845145554567473,3.2207252839395104,20.407762434490213,134.3617101814111,75.0,227.3748980138105,-0.01572335282229187,8.284126446798375,-8.336151257765831,2.663927446264253,13.734270852414815,185.936201085241,49.0,149.97988902271373,-0.04831126531152146,18.032129256711983,-17.802776529586172,4.99749521722637,48.8801300253301,498.6890087752697,104.0,586.2375745555662,21.362317336435506,16.620277704564206,35.83490578629815
5,50,-0.04979602311234563,11.14609974291419,-11.21732029816668,4.209854747447458,34.160711540853164,513.0192889462003,98.0,379.2154988407773,-0.06621666874274697,11.407226397053961,-10.65793040875118,3.977933135954655,30.660069130107274,619.7661588169274,81.0,297.80708223311314,-0.06953025186704949,18.387746545056068,-17.572632932713017,6.30877543549089,76.94901041784524,685.6909471491946,145.0,922.6421037757589,22.36342004108087,22.06515680580514,35.96037947776908
6,60,-0.01358865095073186,11.186388016082404,-10.975876277530535,4.0127512494017985,31.401199441794844,432.0799103719187,81.0,338.9888638792842,-0.005139826340595193,11.045341670702074,-10.424004545546325,3.2334731917727937,20.692791566090627,290.4791557354677,60.0,210.15430491484648,-0.030589203728760384,18.33052588920048,-19.123678620593797,6.066865319614489,72.03651556711681,1589.9449192209654,134.0,855.0349365148655,22.16226429361294,21.469346216248397,37.45420450979428
7,70,-0.08569348475863871,11.042080012222213,-11.170356710758906,3.835187228429745,28.222841914348738,213.8074981313372,48.0,320.98132697988274,-0.018887215788134716,11.395506041916244,-10.7764835256293,3.3200296344092335,21.383433479031048,258.1344452438961,30.0,219.77642608338274,-0.023180227642633305,18.526122381055323,-18.763187382415875,5.8554373604768175,66.99169742357111,444.89759456932956,71.0,846.5284595945944,22.212436722981117,22.171989567545545,37.289309763471195
