,time,x_mean,x_max,x_min,x_std,x_mean_PSD,x_max_PSD,x_PSD_above_20,x_weighted_mean,y_mean,y_max,y_min,y_std,y_mean_PSD,y_max_PSD,y_PSD_above_20,y_weighted_mean,z_mean,z_max,z_min,z_std,z_mean_PSD,z_max_PSD,z_PSD_above_20,z_weighted_mean,x_range,y_range,z_range
0,0,-0.0026566244227962444,4.092826751774482,-4.006493968169638,1.2876580282633476,3.204281351963657,36.94724758561979,7.0,33.90161731845784,-0.008276597206685136,6.8619141433512505,-6.9586127898048415,2.4411759845583547,11.183248303698374,427.3762021930236,26.0,96.21722707812643,-0.03981709346951688,10.14899165487364,-9.704184691608793,3.585937313172253,25.35917610119842,584.258057018405,73.0,249.99589410462494,8.09932071994412,13.820526933156092,19.853176346482435
1,10,0.0032661002186182594,4.385245885970072,-4.168295836235705,1.4892975448639758,4.270703316952855,65.72505312430201,11.0,41.920628602710885,0.013429988389140028,7.589968004742255,-7.3725631037582975,2.6255254552592553,13.03451873388637,321.60307333770703,47.0,115.34414289020744,-0.03602493813648239,10.006200931325381,-9.88559006996439,3.4685257558897575,23.66345663615285,449.71798437288055,68.0,233.5519370314137,8.553541722205777,14.962531108500553,19.89179100128977
2,20,0.006441715689562478,4.423110856631896,-4.34622010042485,1.5098877213695132,4.387559378833569,145.60266971491785,10.0,43.681592537806125,-0.06184428301628991,7.5549790856696895,-7.3762842868518534,2.788348096012875,14.612387353358448,454.13241963616673,42.0,127.39807049225531,-0.04228332715059919,9.89876753943365,-9.787555196944457,3.866843172044698,29.426843624474323,1019.0003455500406,67.0,281.0046783069489,8.769330957056747,14.931263372521542,19.686322736378106
3,30,0.006063703189141195,4.288542240252282,-4.3265236802760665,1.469677613103054,4.2322451056802475,69.43695080494173,13.0,41.87142826646685,-0.005339777637333608,7.289437583052227,-6.872439513137857,2.6280113369191,13.055944352914688,272.9515201975329,35.0,112.94741219950777,-0.003090629129035357,10.140536434148917,-9.946324809464919,3.7921759462106883,28.461359988546686,523.8128238262958,64.0,270.89382577732925,8.615065920528348,14.161877096190084,20.086861243613836
4,40,-0.0048922190508714075,4.364376479113274,-4.445169519296938,1.5334752801867333,4.620407693266648,73.49540374934513,18.0,43.825333946499555,-0.00489125938586469,7.121644134091902,-6.5623510784083035,2.2393786708892898,9.24412455335465,421.31824421761235,30.0,81.92711822340716,-0.010256680304106577,10.458864842869671,-10.463307457997027,3.543607544055565,24.467926511701595,600.2284814991757,58.0,218.39511070319037,8.809545998410211,13.683995212500205,20.9221723008667
5,50,0.022245398916052074,4.450019053537691,-4.4167990613203205,1.71832685834664,5.5583001726460175,118.38787056310655,15.0,59.67812358622708,0.023724371009125007,7.5855169570710945,-7.5739037530845215,3.0381434729492858,16.953778332582075,285.50022347927637,44.0,155.87496595405844,-0.08221191412189567,10.497870840841236,-9.882474454709577,4.0076577579800645,30.661298238825058,606.2054941585833,73.0,321.2832134032679,8.866818114858011,15.159420710155615,20.38034529555081
6,60,0.009528127551139257,4.4349946283123165,-4.445086092680881,1.5112332380802507,4.480049940411271,82.7143358239449,15.0,42.83753501638791,0.0188858931580827,6.160569739177014,-6.676455354709519,2.258473556607142,9.808780403630884,303.36749068179444,28.0,83.91848500114683,-0.013768632682858058,10.139109468549632,-10.565348475085283,3.2698793461683264,20.98730769625331,336.07611878329516,58.0,205.35614780195928,8.880080720993197,12.837025093886533,20.704457943634914
7,70,0.019332226394799205,4.282417985392288,-4.086632252212199,1.355778915966588,3.5954628772991155,51.27307424741077,5.0,33.119649323226255,-0.028616892918913693,5.544447353739116,-6.4563865220158885,2.329065040921204,10.459485253961299,212.8996492113896,11.0,87.55435477633256,-0.00549732866321267,9.691003581317652,-9.475520369735683,3.0513074596867993,18.246095716605907,370.8226735315204,28.0,178.3442704659188,8.369050237604487,12.000833875755005,19.166523951053335
